,site,DJF_dex,JJA_dex,DJF_dex_s,JJA_dex_s,DJF_d18O,JJA_d18O,DJF_d18O_s,JJA_d18O_s,koppen,clim
1332,isomap_7152700,14.052631578947368,9.352380952380956,3.425503177952199,4.3085318511086985,-14.973684210526315,-6.347619047619048,4.102225596873659,1.428825374254453,Dfb,D
1333,isomap_7156900,6.897894736842116,5.958947368421061,4.046981433829609,3.1444418712134765,-24.061578947368417,-12.336315789473682,2.5496878305473007,1.5701096526452039,Dfb,D
1334,isomap_7162800,13.793828050619469,9.877898937652175,5.467816989893878,3.983238427768593,-16.38534371672566,-7.849147014260869,2.958643712907437,1.6970231793650254,Dfb,D
1335,isomap_7170201,12.430526315789473,8.495609756097565,4.111646454292599,3.02649926465037,-14.717631578947367,-7.747317073170732,3.0411653187297913,1.6148609007381716,Dfb,D
1336,isomap_7172000,14.859999999999996,11.030000000000003,2.942176065431847,4.821317247392051,-18.495000000000005,-8.110000000000001,3.1719828183645657,1.1861281549647156,Dfb,D
1337,isomap_7174800,12.107368421052628,8.63000000000001,3.6240844101144267,6.049223090612551,-23.98842105263158,-9.060000000000002,3.2615676940260907,1.533427533338306,Dfb,D
1338,isomap_7179900,5.376470588235291,-1.494117647058823,6.0643150441758245,5.781966954982714,-10.723529411764707,-8.629411764705882,1.490175438453555,1.741116851125551,Csb,C
1339,isomap_7181600,12.301176470588238,8.461923076923082,5.208514013013702,3.396063919882694,-19.810196078431375,-12.173846153846155,3.6333479889231737,1.323864032418496,Dfc,D
1340,isomap_7182400,12.805641025641025,10.046829268292676,3.5925876645598556,2.5750381849163917,-21.225384615384613,-10.709512195121949,3.391045407339027,1.3645082223554643,Dfc,D
1341,isomap_7185001,11.141578947368409,8.164499999999999,4.326930069080686,3.3527823892999677,-21.910789473684208,-9.98025,4.198201608445259,2.333669307656935,Dfb,D
1342,isomap_7185600,11.189999999999994,5.294117647058807,4.3710296269872115,5.832209811064499,-24.705000000000002,-10.235294117647058,3.9482242844093833,1.7190767619553262,Dfb,D
1343,isomap_7186500,7.011764705882324,2.9961904761904714,7.810240815217891,6.410252558868552,-25.641176470588235,-12.999523809523808,3.945669081191412,2.561231988136208,Dfb,D
1344,isomap_7186601,0.7751351351351345,1.1789999999999963,7.838248777670785,8.41089561224011,-23.264054054054053,-12.660799999999997,3.7582525118762447,2.286120591744888,Dfb,D
1345,isomap_7186700,9.042105263157865,3.1874999999999893,4.018682134006473,5.233769554537155,-26.031578947368423,-13.40625,3.4951172906422268,1.6099179909237622,Dfc,D
1346,isomap_7187701,4.144827586206887,7.287499999999999,10.805923860897533,6.7347927240349605,-25.1,-15.864285714285717,3.910022488690949,2.1477919368694978,Dfc,D
1347,isomap_7187900,8.47272727272728,3.8933333333333358,6.435284963541548,6.556875949888189,-27.063636363636363,-13.846666666666666,3.6372498920007597,1.6028585575638166,Dfb,D
1348,isomap_7191300,10.805714285714284,3.4866666666666437,5.390533652730914,12.225600825953542,-28.56857142857143,-14.186666666666662,1.7810464706492763,2.3705967368763683,Dfc,D
1349,isomap_7191400,7.716410256410256,4.1223999999999945,3.481019219431088,2.387114207573648,-12.14179487179487,-9.2088,1.4824146480292377,2.010121031181953,Csb,C
1350,isomap_7191700,9.551428571428639,4.602666666666708,5.86959582101195,10.314716649310126,-37.83857142857145,-21.732000000000003,2.835073335264284,3.660790807098009,ET,E
1351,isomap_7192400,8.76400000000001,6.520000000000007,9.064536612535667,5.220043422552484,-35.03466666666668,-19.966666666666665,3.482184882448887,2.628555158679807,ET,E
1352,isomap_7192500,9.779999999999983,6.3600000000000145,2.5664102436012763,4.244255725880183,-32.32153846153846,-19.06,1.7162519366512554,2.5274545825131383,ET,E
1354,isomap_7193401,5.469230769230789,1.6133333333333184,16.841479224973313,7.969644631698171,-25.35384615384616,-16.386666666666667,5.315091052786236,2.653213565136101,Dfc,D
