,lat,lon,cam2_m,cam2_b,cam5_m,cam5_b,echam5_m,echam5_b,gissE_m,gissE_b,HadAM3_m,HadAM3_b,isoGSM_m,isoGSM_b,lmdz_m,lmdz_b,miroc_m,miroc_b
1329,49.38,-82.12,8.21827916801698,10.689698022041151,8.465832209521414,20.420602481150436,8.042947766185627,10.231851034270324,8.208729700355502,14.737453958619732,9.101800446873455,22.82706473333104,8.198465665164214,14.013963682429114,8.150479465277463,9.499715104522005,8.023763173696464,8.966214669436452
1330,45.37,-63.27,8.1209672130543,8.801631212338654,8.1603241582534,13.511203398813084,7.820002575446191,8.578256025238991,8.070613816889328,10.05469801566112,8.863452507787537,16.33313193324826,8.053889297197266,12.091366083907932,7.922036117253902,9.351642646775801,8.08304777704344,10.323413130845426
1331,47.98,-55.82,7.918423818098185,6.250316976145791,8.043729579213334,11.307384309091958,7.703017327639488,6.218131108037873,7.814119272154787,6.417854091854356,9.425132481634263,20.194902645960106,8.026263535268082,11.483493257677997,7.965356895692448,9.572768286899262,8.098094193825222,9.737076879161322
1332,42.85,-80.27,8.461853392096069,15.245421171656021,8.052443633578829,14.125740647479342,7.915107619396333,10.356767024191127,8.368903426896116,16.517433859162644,9.315443721648856,25.563428183258083,8.089667303022397,13.184541421347701,8.153745335763787,11.921132773800956,8.11627138200489,11.114920314012608
1333,50.12,-104.42,8.480151056343061,14.415424000905123,8.193122926166778,12.54312840165613,7.875206407963807,5.94999392610334,8.178023999599283,11.720245066268392,8.572591599073561,12.712045633926989,8.175339519376136,11.233125818605629,7.660938019254609,-2.56881092939575,7.910245125620611,5.349326791993796
1334,45.32,-75.67,8.295192921412426,12.510078120644362,8.3238616176108,18.176282839997562,7.96703716985452,10.529687987116532,8.315433563753192,16.046535796216777,9.38192970797865,25.833361714053275,8.12851614251955,13.59611405508219,8.198176727531328,11.464443482690454,8.089469211125985,10.372370278417762
1335,46.29,-64.15,8.160422990110948,9.68510167999534,8.2361111341877,14.602163066581438,7.783473411592251,7.701224582627976,8.057279397871513,10.485512432239524,8.906852532296726,16.203556984580448,8.07347499994511,12.317895374073744,8.014872164989216,9.224721964376538,8.089349922763226,10.455467290713559
1336,46.05,-74.28,8.265639755691073,12.11850638640094,8.319991576522794,18.189652514176935,7.9693836855913,10.729117710173435,8.245007705291071,15.226183480018058,9.261695571724765,25.105267387968563,8.155525186337314,13.871350685554736,8.192889296731593,11.002486896166559,8.096976783882184,10.410990396870138
1337,48.75,-91.62,8.396786967842845,13.389544992830148,8.419787527901555,18.528726906779607,8.035525111118648,10.428006415961491,8.261640481717297,14.734702200411228,9.234978230605284,24.479726291469458,8.165701696315924,12.94501877544006,8.004522825775988,6.522956208880546,8.002769480571972,7.967625651959448
1338,48.65,-123.43,8.175710005351565,9.13323455327315,7.6307666060791615,3.6287918408393605,7.803843583648263,6.2843907667305885,8.326076574237343,9.580663640227653,8.96344006632308,15.075677600100425,7.779535361342147,6.387846600476661,8.151888031245948,7.770921123717639,8.334147955522456,10.203389581730129
1339,53.32,-60.42,8.014685450377279,6.299088129948524,8.520010763355208,19.550026348828883,7.836691217346414,6.965025239676135,8.041455303175857,9.679781598445965,8.7226250814141,14.929775852898272,8.156452043468956,12.914574361710162,8.097213523843509,8.080807665097923,7.989317186645065,7.199439006699221
1340,49.82,-74.97,8.229981347651915,11.041170967676681,8.551364969025519,22.17276491203498,8.057713360461563,11.022532599723387,8.308522381800293,15.895382493550763,8.997085841997826,22.13707963869999,8.187857969147263,14.078047775200261,8.218719749357435,10.874829754357677,8.038300322580495,9.28788903844014
1341,49.67,-93.72,8.425160880121128,13.82955280289598,8.393800016720395,17.82882435861534,8.020626072822793,9.624434279645362,8.246895543334912,14.005401097517796,9.00439963644709,21.4076564591052,8.160252554321412,12.33528291317606,7.978258739339314,5.543208355841551,7.992911772453161,7.752992714075363
1342,50.62,-96.98,8.305018629601335,11.45737613896018,8.35833402776164,16.343550732553744,7.964983510111523,8.093715170636559,8.274145307212548,13.88005685086211,9.034214592410216,21.249812496968925,8.151583460579573,11.823546058141078,7.899977340623439,3.253949714348366,7.956675468967974,6.467742106489494
1343,51.77,-104.2,8.360582211236744,12.344617370263657,8.193605783080052,12.629743903344709,7.86871628392993,5.732117507783774,8.13222684404195,10.85243037235685,8.886402554697261,17.901913860695153,8.179047011242266,11.151119912160247,7.691051526988723,-2.3487964223752607,7.888824707831261,4.851868679851049
1344,52.141000000000005,-106.6244,8.347564694643598,12.09377225672723,8.045348520661651,9.831253112364044,7.831698303575992,4.4863872699599625,8.076957207122271,9.502560865673065,8.767918646182231,16.17927538538096,8.200938074674369,11.119904232559128,7.61167808445288,-4.128782346399473,7.885197220468298,4.586890297945978
1345,53.97,-101.1,8.137900586444948,7.917516804540141,8.293033416047894,14.932810516402048,7.875681103830602,5.529143744504154,8.241974710839019,12.753812431862308,8.879087834123489,18.502241479710886,8.19441327195372,11.871010607158707,7.861574142816308,1.3319070878090096,7.835828356663068,3.692254448579246
1346,51.01666667,-114.01666670000002,8.263464983808735,10.431307610032109,8.050884946652026,10.019507515360536,7.835152837111612,4.617935234924177,8.172217272663076,11.300081447255742,8.515918099473096,12.306292993565059,8.265348924666359,11.982420367481716,7.44828473294503,-7.00806026305709,7.917705748774564,5.217376142782639
1347,53.57,-113.52,8.09158653862472,6.758224127401617,7.902992930137674,7.275717478045135,7.840396392352607,3.9056714875458027,7.96414925666074,6.8766973970453105,8.571516601679129,13.175686750352844,8.252518648331513,11.623509235111051,7.383589682434541,-8.68141448528398,7.793867538524359,2.604742014857689
1348,58.75,-94.06,7.949525752971619,4.868758350822252,8.681609286261038,24.42497144028729,7.945528106628655,5.7555894033315385,8.064668502749344,10.126044031108421,8.199475582236884,8.568643005324958,8.135281228910584,11.640326256610262,7.923472743815248,3.423502784031214,7.5771942855414744,0.315863542001204
1349,48.78,-123.13,8.175710005351565,9.13323455327315,7.6307666060791615,3.6287918408393605,7.803843583648263,6.2843907667305885,8.326076574237343,9.580663640227653,8.96344006632308,15.075677600100425,7.779535361342147,6.387846600476661,8.151888031245948,7.770921123717639,8.334147955522456,10.203389581730129
1350,80.0,-85.56,7.570723919991112,-4.169430669478432,8.23598736590356,11.024156150785853,8.562371764925459,16.5378796522209,7.694078640442996,0.7152235296766516,7.821163150688853,-1.5160530700240524,7.574451334843038,1.9333985068827377,7.4803690085276475,-9.474663289585367,7.264793390459292,-9.527037945262094
1351,74.72,-94.98,7.679316635368235,-1.6933635564148757,8.185423256866292,10.946537744989131,8.124061176552805,6.336338141700468,7.375534461798612,-4.125720449855211,7.551563295184422,-4.832425800392674,7.777936488650579,5.415945682184772,7.534671941616005,-7.633047849670739,8.785936399637222,26.45229075961643
1352,69.1,-105.11666670000001,7.783468352953654,0.454172726124313,8.40325450876838,15.422806117146953,8.033351690678689,5.7481812124042815,7.9009962669168265,5.968612559505317,7.941890895929712,1.4108396686444475,7.797877564893785,4.237440043164576,7.548091964424724,-7.227301682463095,7.286493813587378,-8.38773832283731
1354,62.28,-114.27,7.8885475455270235,2.3105809254069047,8.5780893115531,19.664125011979493,7.755953298891545,1.68770194372737,7.958554597257873,6.368699074923553,8.273424865567602,7.366324706646558,7.923645835888362,5.683189681902337,7.481555300190793,-8.171332193242726,7.512383708110468,-3.932619937689316
1356,60.72,-135.07,7.904273366764769,3.3422274914654224,8.005649038674033,6.44380719842851,7.803424394370105,5.247698400342032,8.145378196353311,7.756679528942557,8.683966072391488,11.116779343994962,7.856151327508799,5.041524896215398,7.699827397672719,-1.6474680503395107,7.867706844517388,2.72989460148619
1358,40.008,-105.26825829999999,9.171039916117811,27.117419963916856,8.356369412989197,17.0179601825764,7.661187092971066,4.840350622922337,8.403101259097008,18.29038210550093,8.401293572545814,14.222726964749988,8.351278559225637,16.002626407090865,7.820310415901751,3.875297956813487,8.029257794185229,9.428887887848987
1360,31.62,-97.22,8.47033040357065,16.683316898649178,7.547019586762881,8.295639492911173,7.482172021924861,6.322930113400625,8.258079984932134,14.519098147088656,9.534579646140793,25.07062520459599,8.095692830278217,12.055072840381602,8.505644209042341,11.853590929545147,8.242421236825383,11.62349256239151
1361,32.2361,-110.9439,9.134846422054705,22.710849888220228,8.071327362819597,11.763728395237917,7.2782944353749945,3.403551296702379,8.544482694579171,15.535927220100554,8.628198781053547,15.294067290041955,8.452718990141223,15.181328474972393,,,8.38908423980718,12.038277850896826
1362,35.27,-75.55,7.664332421006368,10.922546323415824,7.680318320841276,8.681769110053729,8.034873440794446,10.994751116855541,8.334508637449101,13.960885596867532,9.191638005359492,21.089577593708558,7.778872254700446,10.088387757521717,7.441030396832188,10.614255866856489,7.811197808121307,10.42339066318417
1363,35.13,-111.67,9.19720501006242,23.186428592479174,7.900262111945774,9.267167738683861,7.384121197549651,5.006920375279878,8.714789167258964,17.26367237345953,7.621876034165659,4.665124475492441,8.319326979952283,14.164416796539605,8.171011425733283,10.8013521742545,7.967129735546937,8.108596803697989
1364,34.9,-120.45,8.55236405366791,13.769091426890608,8.049759847124466,9.381410133158598,7.72253295573076,7.129498637580956,7.409707049142949,5.852292340670298,9.058164700324713,18.20462642498201,8.321309803418808,12.195621161814055,8.808060715801172,12.95203170565762,8.319705301119603,11.254053221144598
1365,40.37,-81.8,8.506721790075641,17.045289955249917,7.909894941743961,12.586106596409538,7.851191030647445,10.047181303011062,8.371867928357013,16.238774840891445,9.217927702590803,24.30830045383829,8.04227781748302,12.761641581206238,8.023775859859693,11.185627988157247,8.118165602968297,11.454987279728114
1366,41.78,-87.75,8.6169480254889,18.316441537027742,7.961017141118972,12.401578248098252,7.850807964375737,9.649863556050798,8.348245234034696,15.993826607775112,9.486225792410002,26.83313477902387,8.030493408407086,12.452974076887635,7.740814376639153,7.668704086201373,8.117662077546402,11.046819062779845
1370,47.67,-124.48,8.215908338824427,9.656332093728073,7.62138621487683,3.54054883881865,7.9578257597910875,7.068183523752448,8.285019367459666,8.362171968175636,9.12132752924201,16.311312729350476,7.650115627322545,5.379592600059292,8.281058989424507,9.210386341904258,8.314806567286903,10.037936567793576
1371,35.0,-48.0,7.155071424521935,8.500336819638036,8.053836958353338,8.03933095763591,7.586120953073781,7.5416148308902295,8.15633511474668,11.171671182639656,7.850120304044194,9.155834064000235,8.024599131538126,9.91565331284524,7.384711868310323,8.556105190175876,7.16507407456268,6.959350261976746
1372,28.63,-106.07,9.227640550185802,22.91850836858979,8.197825556524823,15.106503080440945,7.4729911724227005,5.161442350891691,8.724017196836314,19.9168332104815,7.769676350711437,9.441916079077009,8.516806446878148,16.117138721413834,9.132204173191058,15.497013326230531,8.323406560978622,11.584915371584376
1373,19.2,-96.13,8.549796951202321,15.246366628830552,7.922226310904574,9.825724562441188,8.516305518914523,11.453599107503091,8.478552673556973,16.365033755245296,8.878408465562444,21.180114891089673,8.521854613026356,14.231526780082289,9.133076114331136,17.34490297081879,8.581301546229664,13.848067535121531
1384,23.05,-82.21666667,8.634767542259084,12.822612564359225,7.92902369334383,8.899858655385174,8.242735043982826,7.8369425451769725,8.440377181775423,13.645341585574224,8.007575918430303,9.262178346427117,8.356085831582996,11.105737754333774,11.024053868527194,20.1225473353663,8.365714434966092,10.596559726697732
1385,18.47,-70.02,7.649615595791929,9.505463199424282,8.040439642853592,8.519595274079217,8.022628190169986,7.187658409318506,8.379935809971105,12.534796904005688,8.143815086241311,9.162659670532703,8.229422777424922,9.746095827796328,7.37494283489689,12.40750735968418,8.843441484340792,10.66764033409199
1390,13.7,-89.12,8.098247647543213,11.793247749202896,7.933504417119009,9.742505928114383,7.618223423596787,4.899007148647561,8.128270259013338,12.630617435894196,8.015444054894102,11.539426103726388,8.216037707434227,10.92301844317184,7.8531483467781795,13.985058283589817,8.49755545049901,11.654532041672333
