,site,m,mse,b,bse,inv_condnum,res_var,n,lat,lon,elev,proj,koppen,clim
770,isomap_1060900,7.8843799641221235,0.08143021867954174,5.601737479714703,0.6164418936197077,0.0357883500924,16.3806231745,431.0,49.7478,6.6581,265.0,20.0,Cfb,C
774,isomap_1065500,8.05644290442272,0.056517569547803154,6.610304267005637,0.48134613168210394,0.0349729456002,11.4364005366,432.0,49.7703,9.9578,268.0,20.0,Cfb,C
778,isomap_1068500,8.22302152191361,0.06478946815822771,8.37048816595258,0.5927171654909779,0.0285606066087,11.1495454875,372.0,50.3119,11.8758,565.0,20.0,Cfb,C
781,isomap_1072700,7.718824548262004,0.050790147216753276,5.400268457626847,0.42016499503116705,0.0341502851202,7.70271732885,396.0,49.0392,8.365,112.0,20.0,Cfb,C
783,isomap_1073900,8.023985950065534,0.06251123846575678,5.792477356315938,0.5431783618165874,0.0345840248855,18.4702518392,537.0,48.8281,9.2,314.0,20.0,Cfb,C
787,isomap_1077600,8.342323290828842,0.0633169736305412,8.244898684681205,0.6148924232410585,0.0299062442792,16.6055159428,432.0,49.0422,12.1019,365.0,20.0,Cfb,C
795,isomap_1086,7.62222929206846,0.2061749099465915,4.8604410421693585,1.7445141448543329,0.0199958064581,17.2237457201,137.0,44.5647222,-123.26083,76.0,16.0,Csb,C
796,isomap_1086801,8.00375281445182,0.06456097285312251,8.511588040374987,0.6908723408949696,0.0245774407002,7.06090663634,168.0,44.22,11.59,489.0,20.0,Cfa,C
797,isomap_1087,8.202736728352669,0.23397210809367436,9.859323666652305,1.5354063980973531,0.0295763449538,10.8168766457,90.0,44.637,-124.053,45.0,16.0,Csb,C
799,isomap_1089300,7.906096535081474,0.05781370500744164,8.490993708782993,0.596133891522925,0.0270739888363,7.11108462801,198.0,48.545,13.3528,476.0,20.0,Cfb,C
801,isomap_1090800,7.664676125710357,0.19872097528132657,6.761417037497506,1.937043410084962,0.0239322674142,14.0820385193,50.0,47.8747,8.0036,1490.0,20.0,Cfb,C
802,isomap_1090801,8.010860767423333,0.062224476324785415,6.192060854474012,0.5564331389675273,0.0331234130242,12.9697165728,370.0,47.59583333,7.594444444,249.0,20.0,Cfb,C
804,isomap_1092,7.682817916362983,0.189081854662532,0.8315129658434403,2.547892425914813,0.0324564095104,75.9338294335,48.0,40.806389,-104.754722,1641.0,25.0,BSk,B
805,isomap_1092900,8.148249871448726,0.048836336111501795,8.310040992875566,0.5051772367740252,0.0274434950282,11.0152429116,432.0,47.6772,9.19,443.0,20.0,Cfb,C
807,isomap_1096200,8.056507690669338,0.03900026993084125,10.92849536387674,0.464863721783669,0.021241985936,6.94988668308,402.0,47.8008,11.0108,977.0,20.0,Cfb,C
808,isomap_1096300,8.223920866046505,0.0443403431243698,9.609055805481791,0.5178104987644958,0.0248291030261,11.7078655181,431.0,47.4828,11.0622,719.0,20.0,Dfc,D
809,isomap_1103500,7.566365016116539,0.05777276258181177,2.7198223434081688,0.5961929784117935,0.0320308092713,32.7190921318,618.0,48.24861111,16.35638889,198.0,20.0,Cfb,C
812,isomap_1123101,8.04298030602394,0.05005551977699495,9.493195294634804,0.5656047891373887,0.0294018164502,11.5821332475,265.0,46.64833333,14.31833333,450.0,20.0,Dfb,D
813,isomap_1126501,8.175213018834944,0.050730920969818495,13.389487654287718,0.5904108894391201,0.0229043708399,10.8637665428,359.0,46.60305556,13.67138889,2156.0,20.0,Dfb,D
814,isomap_1129001,7.874047670987789,0.05033305180440679,7.497694469366639,0.5295431142044718,0.0302617200749,13.0135761238,355.0,47.07777778,15.44888889,366.0,20.0,Dfb,D
815,isomap_1137901,7.364805497416076,0.14570267011312643,2.572104360256728,1.496616231176217,0.0348291245505,24.1956001902,60.0,48.15,15.15,252.0,20.0,Cfb,C
